000.png,9.25,0.295
001.png,5.70,0.116
002.png,7.35,0.215
003.png,10.58,0.324
004.png,9.27,0.191
005.png,5.91,0.062
006.png,9.86,0.240
007.png,7.21,0.223
008.png,6.38,0.140
009.png,8.77,0.283
010.png,6.89,0.140
011.png,8.09,0.143
012.png,8.47,0.200
013.png,9.17,0.213
014.png,8.06,0.238
015.png,9.36,0.278
016.png,8.88,0.233
017.png,9.23,0.233
018.png,9.30,0.234
019.png,8.64,0.150
020.png,8.93,0.278
021.png,8.86,0.233
022.png,8.53,0.177
023.png,8.45,0.223
024.png,8.86,0.195
025.png,8.12,0.207
026.png,8.12,0.277
027.png,6.71,0.143
028.png,7.13,0.176
029.png,7.08,0.199
030.png,8.06,0.353
031.png,8.53,0.213
032.png,6.96,0.199
033.png,6.56,0.107
034.png,6.05,0.081
035.png,7.18,0.175
036.png,7.32,0.181
037.png,9.69,0.197
038.png,6.82,0.157
039.png,6.90,0.193
040.png,6.15,0.135
041.png,7.25,0.224
042.png,7.57,0.254
043.png,7.77,0.253
044.png,8.14,0.207
045.png,6.58,0.176
046.png,6.08,0.094
047.png,6.47,0.087
048.png,6.24,0.083
049.png,6.34,0.095
050.png,8.33,0.245
051.png,6.66,0.148
052.png,7.66,0.204
053.png,8.77,0.207
054.png,6.22,0.115
055.png,6.96,0.164
056.png,7.72,0.206
057.png,6.87,0.176
058.png,6.24,0.089
059.png,8.07,0.291
060.png,5.85,0.084
061.png,6.01,0.082
062.png,5.98,0.148
063.png,7.60,0.245
064.png,7.30,0.260
065.png,8.03,0.319
066.png,7.92,0.291
067.png,6.02,0.099
068.png,6.77,0.157
069.png,7.00,0.150
070.png,8.90,0.311
071.png,7.24,0.156
072.png,6.90,0.216
073.png,9.01,0.314
074.png,6.95,0.101
075.png,6.97,0.087
076.png,7.15,0.083
077.png,8.61,0.297
078.png,6.99,0.166
079.png,8.92,0.332
080.png,6.80,0.115
081.png,7.81,0.266
082.png,5.94,0.068
083.png,6.31,0.171
084.png,7.30,0.266
085.png,6.84,0.129
086.png,8.13,0.233
087.png,9.30,0.316
088.png,7.98,0.269
089.png,7.06,0.204
090.png,8.54,0.303
091.png,9.31,0.341
092.png,7.63,0.199
093.png,7.42,0.171
094.png,7.28,0.191
095.png,7.15,0.227
096.png,6.19,0.109
097.png,8.76,0.312
098.png,8.18,0.244
099.png,6.89,0.196
100.png,6.95,0.142
101.png,6.44,0.146
102.png,9.44,0.336
103.png,5.24,0.076
104.png,5.14,0.063
105.png,5.13,0.086
106.png,5.35,0.110
107.png,6.54,0.168
108.png,5.80,0.085
109.png,8.61,0.321
110.png,6.35,0.178
111.png,9.30,0.237
112.png,5.88,0.146
113.png,8.32,0.231
114.png,6.41,0.149
115.png,6.22,0.163
116.png,5.16,0.120
117.png,6.59,0.257
118.png,6.02,0.130
119.png,6.55,0.288
120.png,5.84,0.202
121.png,7.16,0.246
122.png,6.54,0.218
123.png,6.78,0.123
124.png,5.84,0.072
125.png,5.97,0.142
126.png,6.13,0.161
127.png,7.69,0.294
128.png,6.31,0.146
129.png,9.91,0.298
130.png,8.19,0.189
131.png,7.45,0.226
132.png,5.37,0.126
133.png,7.12,0.190
134.png,5.71,0.097
135.png,7.21,0.206
136.png,6.60,0.172
137.png,7.31,0.178
138.png,7.89,0.312
139.png,5.72,0.107
140.png,8.17,0.249
141.png,5.89,0.094
142.png,6.21,0.116
143.png,6.24,0.134
144.png,7.78,0.199
145.png,6.13,0.129
146.png,7.36,0.186
147.png,8.10,0.246
148.png,6.44,0.125
149.png,5.59,0.081
150.png,7.96,0.267
151.png,6.62,0.150
152.png,5.54,0.175
153.png,5.39,0.094
154.png,6.18,0.135
155.png,5.50,0.069
156.png,5.72,0.100
157.png,6.27,0.207
158.png,6.94,0.270
159.png,6.31,0.200
160.png,6.84,0.263
161.png,6.82,0.269
162.png,5.95,0.175
163.png,7.39,0.215
164.png,7.57,0.284
165.png,7.19,0.231
166.png,6.56,0.179
167.png,7.09,0.201
168.png,7.05,0.195
169.png,6.78,0.209
170.png,6.98,0.214
171.png,7.26,0.208
172.png,5.38,0.053
173.png,6.91,0.215
174.png,5.63,0.094
175.png,6.31,0.200
176.png,5.76,0.209
177.png,5.38,0.091
178.png,5.58,0.081
179.png,6.61,0.297
180.png,6.60,0.185
181.png,5.61,0.091
182.png,6.09,0.161
183.png,5.44,0.093
184.png,6.02,0.142
185.png,6.85,0.273
186.png,5.94,0.209
187.png,4.93,0.079
188.png,6.52,0.232
189.png,6.36,0.214
190.png,4.88,0.060
191.png,5.05,0.090
192.png,6.16,0.099
193.png,7.41,0.254
194.png,6.16,0.124
195.png,6.72,0.183
196.png,7.37,0.204
197.png,8.22,0.349
198.png,6.76,0.231
199.png,5.83,0.115
200.png,6.70,0.239
201.png,6.53,0.226
202.png,5.59,0.083
203.png,5.10,0.042
204.png,7.13,0.240
205.png,7.18,0.209
206.png,5.98,0.104
207.png,5.68,0.133
208.png,4.92,0.077
209.png,6.32,0.225
210.png,5.43,0.067
211.png,6.46,0.212
212.png,6.91,0.228
213.png,5.52,0.099
214.png,6.03,0.113
215.png,5.91,0.141
216.png,5.26,0.114
217.png,6.69,0.251
218.png,6.32,0.211
219.png,6.69,0.205
220.png,6.78,0.185
221.png,7.03,0.253
222.png,6.24,0.117
223.png,6.83,0.221
